"County, State",Type,Value
"Green, WI",GradRate,0.96
"Green Lake, WI",GradRate,0.92
"Iowa, WI",GradRate,0.97
"Iron, WI",GradRate,0.96
"Jackson, WI",GradRate,0.89
"Jefferson, WI",GradRate,0.91
"Juneau, WI",GradRate,0.9
"Kenosha, WI",GradRate,0.9
"Kewaunee, WI",GradRate,0.95
"La Crosse, WI",GradRate,0.93
"Lafayette, WI",GradRate,0.95
"Langlade, WI",GradRate,0.89
"Lincoln, WI",GradRate,0.94
"Manitowoc, WI",GradRate,0.91
"Marathon, WI",GradRate,0.94
"Marinette, WI",GradRate,0.92
"Marquette, WI",GradRate,0.85
"Menominee, WI",GradRate,0.78
"Milwaukee, WI",GradRate,0.77
"Monroe, WI",GradRate,0.95
"Oconto, WI",GradRate,0.92
"Oneida, WI",GradRate,0.91
"Outagamie, WI",GradRate,0.91
"Ozaukee, WI",GradRate,0.96
"Pepin, WI",GradRate,0.98
"Pierce, WI",GradRate,0.96
"Polk, WI",GradRate,0.94
"Portage, WI",GradRate,0.91
"Price, WI",GradRate,0.92
"Racine, WI",GradRate,0.83
"Richland, WI",GradRate,0.91
"Rock, WI",GradRate,0.94
"Rusk, WI",GradRate,0.88
"Sauk, WI",GradRate,0.91
"Sawyer, WI",GradRate,0.88
"Shawano, WI",GradRate,0.91
"Sheboygan, WI",GradRate,0.94
"St. Croix, WI",GradRate,0.93
"Taylor, WI",GradRate,0.92
"Trempealeau, WI",GradRate,0.95
"Vernon, WI",GradRate,0.96
"Vilas, WI",GradRate,0.97
"Walworth, WI",GradRate,0.93
"Washburn, WI",GradRate,0.91
"Washington, WI",GradRate,0.93
"Waukesha, WI",GradRate,0.94
"Waupaca, WI",GradRate,0.89
"Waushara, WI",GradRate,0.9
"Winnebago, WI",GradRate,0.91
"Wood, WI",GradRate,0.92
"Albany, WY",GradRate,0.81
"Big Horn, WY",GradRate,0.66
"Campbell, WY",GradRate,0.79
"Carbon, WY",GradRate,0.78
"Converse, WY",GradRate,0.87
"Crook, WY",GradRate,0.98
"Fremont, WY",GradRate,0.69
"Goshen, WY",GradRate,0.85
"Hot Springs, WY",GradRate,0.87
"Johnson, WY",GradRate,0.86
"Laramie, WY",GradRate,0.79
"Lincoln, WY",GradRate,0.91
"Natrona, WY",GradRate,0.79
"Niobrara, WY",GradRate,0.51
"Park, WY",GradRate,0.85
"Platte, WY",GradRate,0.84
"Sheridan, WY",GradRate,0.86
"Sublette, WY",GradRate,0.92
"Sweetwater, WY",GradRate,0.8
"Teton, WY",GradRate,0.93
"Uinta, WY",GradRate,0.85
"Washakie, WY",GradRate,0.86
"Weston, WY",GradRate,0.9
"Autauga, AL",Political,0.489969166700036
"Baldwin, AL",Political,0.571601113269968
"Barbour, AL",Political,0.05568822237080905
"Bibb, AL",Political,0.5515364553804286
"Blount, AL",Political,0.8090901985305612
"Bullock, AL",Political,-0.5074309978768577
"Butler, AL",Political,0.13456252863032525
"Calhoun, AL",Political,0.4099740932642487
"Chambers, AL",Political,0.1481294964028777
"Cherokee, AL",Political,0.6900214292369328
"Chilton, AL",Political,0.6625292612553759
"Choctaw, AL",Political,0.13672517827756445
"Clarke, AL",Political,0.10674545315018034
"Clay, AL",Political,0.605072463768116
"Cleburne, AL",Political,0.770514181707872
"Coffee, AL",Political,0.5611787932777965
"Colbert, AL",Political,0.3786474011639575
"Conecuh, AL",Political,0.0516324981017464
"Coosa, AL",Political,0.30445544554455445
"Covington, AL",Political,0.6825595984943539
"Crenshaw, AL",Political,0.4546034785383756
"Cullman, AL",Political,0.7707601721543051
"Dale, AL",Political,0.5010933916475545
"Dallas, AL",Political,-0.375
"DeKalb, AL",Political,0.6885696584836986
"Elmore, AL",Political,0.5150563607085347
"Escambia, AL",Political,0.3590434489727181
"Etowah, AL",Political,0.4961280681097727
"Fayette, AL",Political,0.6485634622378471
"Franklin, AL",Political,0.6037375415282392
"Geneva, AL",Political,0.7202755570675284
"Greene, AL",Political,-0.6506147540983607
"Hale, AL",Political,-0.1992537313432836
"Henry, AL",Political,0.4137760158572845
"Houston, AL",Political,0.4705551255892493
"Jackson, AL",Political,0.6194719786504003
"Jefferson, AL",Political,-0.07266815915000772
"Lamar, AL",Political,0.6871949468848694
"Lauderdale, AL",Political,0.454067046173308
"Lawrence, AL",Political,0.4859397127250658
"Lee, AL",Political,0.2261661401226538
"Limestone, AL",Political,0.4863999602918549
"Lowndes, AL",Political,-0.4685816876122082
"Macon, AL",Political,-0.6712253829321663
"Madison, AL",Political,0.16340145297419045
"Marengo, AL",Political,-0.034746225213752965
"Marion, AL",Political,0.7580098582871226
"Marshall, AL",Political,0.6885264469362329
"Mobile, AL",Political,0.13274515593069233
"Monroe, AL",Political,0.14243987927173596
"Montgomery, AL",Political,-0.25984063080164377
"Morgan, AL",Political,0.5179685648842903
"Perry, AL",Political,-0.4579386131110269
"Pickens, AL",Political,0.15552295116327813
"Pike, AL",Political,0.2002582017010936
"Randolph, AL",Political,0.5314616668302738
"Russell, AL",Political,-0.019162858329871208
"St. Clair, AL",Political,0.6786979166666667
"Shelby, AL",Political,0.4942323266241334
"Sumter, AL",Political,-0.4936827328029949
"Talladega, AL",Political,0.2542281557757356
"Tallapoosa, AL",Political,0.41440008211023294
"Tuscaloosa, AL",Political,0.1929987908101572
"Walker, AL",Political,0.6707722584147665
"Washington, AL",Political,0.4298605414273995
"Wilcox, AL",Political,-0.42530238640078455
"Winston, AL",Political,0.8102395035392224
"District 1, AK",Political,0.09144320578487496
"District 2, AK",Political,0.2918790968681719
"District 3, AK",Political,0.5466964402994877
"District 4, AK",Political,-0.00966285054090957
"District 5, AK",Political,0.06273716164938023
"District 6, AK",Political,0.28286052009456264
"District 7, AK",Political,0.5335182059319991
"District 8, AK",Political,0.6079524340393906
"District 9, AK",Political,0.4754299754299754
"District 10, AK",Political,0.4919247787610619
"District 11, AK",Political,0.4440086696253484
"District 12, AK",Political,0.4926123860421251
"District 13, AK",Political,0.3587938160110209
"District 14, AK",Political,0.28166986564299423
"District 15, AK",Political,0.13990365315134484
"District 16, AK",Political,-0.012237762237762238
"District 17, AK",Political,-0.09899823217442544
"District 18, AK",Political,-0.16549581194271815
"District 19, AK",Political,-0.21556761268781305
"District 20, AK",Political,-0.2750700280112045
"District 21, AK",Political,-0.08615704868740602
"District 22, AK",Political,0.1114429049211658
"District 23, AK",Political,0.05083766608896592
"District 24, AK",Political,0.12455947136563875
"District 25, AK",Political,0.053894425987449236
"District 26, AK",Political,0.13183604716451433
"District 27, AK",Political,0.04053284754639645
"District 28, AK",Political,0.05898311017764943
"District 29, AK",Political,0.4519906323185012
"District 30, AK",Political,0.4891620111731844
"District 31, AK",Political,0.21125515615792576
"District 32, AK",Political,0.1422644539614561
"District 33, AK",Political,-0.3267565935172136
"District 34, AK",Political,-0.028098823030431555
"District 35, AK",Political,0.039371820393718206
"District 36, AK",Political,0.21381897386253632
"District 37, AK",Political,-0.09541683129197943
"District 38, AK",Political,-0.3169774288518155
"District 39, AK",Political,-0.3080333392445469
"District 40, AK",Political,-0.20845986984815612
"Apache, AZ",Political,-0.31969198510538305
"Cochise, AZ",Political,0.21277616714985506
"Coconino, AZ",Political,-0.1889468754181721
"Gila, AZ",Political,0.19562907049622585
"Graham, AZ",Political,0.232640598837782
"Greenlee, AZ",Political,0.15408320493066255
"La Paz, AZ",Political,0.4079986556881197
"Maricopa, AZ",Political,0.028353767044215137
"Mohave, AZ",Political,0.5107013747294947
"Navajo, AZ",Political,0.10219883853675484
"Pima, AZ",Political,-0.13573901906839958
"Pinal, AZ",Political,0.1924181371867908
"Santa Cruz, AZ",Political,-0.4742286861802471
"Yavapai, AZ",Political,0.3122761031017912
"Yuma, AZ",Political,0.010564044519901906
"Arkansas, AR",Political,0.3037669027688345
"Ashley, AR",Political,0.3624891748113324
"Baxter, AR",Political,0.5318729130830719
"Benton, AR",Political,0.3394406345534165
"Boone, AR",Political,0.577803984855068
"Bradley, AR",Political,0.2318642211880646
"Calhoun, AR",Political,0.4041427941824592
"Carroll, AR",Political,0.32013385387618515
"Chicot, AR",Political,-0.1518199233716475
"Clark, AR",Political,0.09195402298850576
"Clay, AR",Political,0.4965384615384616
"Cleburne, AR",Political,0.6087712039718659
"Cleveland, AR",Political,0.5184853905784138
"Columbia, AR",Political,0.2606053786429616
"Conway, AR",Political,0.2766494260123628
"Craighead, AR",Political,0.3472858628735277
"Crawford, AR",Political,0.5433407572383073
"Crittenden, AR",Political,-0.0906469408224674
"Cross, AR",Political,0.3760546988652895
"Dallas, AR",Political,0.12414290869722122
"Desha, AR",Political,-0.07258632840028187
"Drew, AR",Political,0.2430629264594389
"Faulkner, AR",Political,0.3096555642056095
"Franklin, AR",Political,0.5410635155096012
"Fulton, AR",Political,0.5037720033528919
"Garland, AR",Political,0.33760568557774784
"Grant, AR",Political,0.5845533915379449
"Greene, AR",Political,0.5239041095890411
"Hempstead, AR",Political,0.2871329266562633
"Hot Spring, AR",Political,0.4205458807769592
"Howard, AR",Political,0.386392811296534
"Independence, AR",Political,0.5182165417952108
"Izard, AR",Political,0.5376284875183553
"Jackson, AR",Political,0.3266097750193949
"Jefferson, AR",Political,-0.25187302077701396
"Johnson, AR",Political,0.40210711150131695
"Lafayette, AR",Political,0.25384615384615383
"Lawrence, AR",Political,0.4927000879507476
"Lee, AR",Political,-0.16721744877726372
"Lincoln, AR",Political,0.314427600627287
"Little River, AR",Political,0.4224220394107519
"Logan, AR",Political,0.5089003913647266
"Lonoke, AR",Political,0.5274538745387454
"Madison, AR",Political,0.4882327145154217
"Marion, AR",Political,0.5490361615308851
"Miller, AR",Political,0.43633086818718536
"Mississippi, AR",Political,0.10534686458648894
"Monroe, AR",Political,0.061373092926490985
"Montgomery, AR",Political,0.5324529362180388
"Nevada, AR",Political,0.25970425138632164
"Newton, AR",Political,0.5798028244071409
"Ouachita, AR",Political,0.10367388022143936
"Perry, AR",Political,0.4549465861588482
"Phillips, AR",Political,-0.26808571839493744
"Pike, AR",Political,0.6191911580005024
"Poinsett, AR",Political,0.46904946904946904
"Polk, AR",Political,0.6567853237759689
"Pope, AR",Political,0.4987372059019009
"Prairie, AR",Political,0.4909988385598142
"Pulaski, AR",Political,-0.1772293711195674
"Randolph, AR",Political,0.4834613575795579
"St. Francis, AR",Political,-0.11251682368775236
"Saline, AR",Political,0.433915547024952
"Scott, AR",Political,0.6065527065527065
"Searcy, AR",Political,0.6314377682403434
"Sebastian, AR",Political,0.3769742590227838
"Sevier, AR",Political,0.483779044278825
"Sharp, AR",Political,0.5428334942750724
"Stone, AR",Political,0.5179779280882877
"Union, AR",Political,0.2723452113176276
"Van Buren, AR",Political,0.522278239542172
"Washington, AR",Political,0.09907037539243352
"White, AR",Political,0.5844079503288144
"Woodruff, AR",Political,0.08907040062232595
"Yell, AR",Political,0.4857897189004504
"Alameda, CA",Political,-0.6402900349399174
"Alpine, CA",Political,-0.19435215946843853
"Amador, CA",Political,0.2526784707341829
"Butte, CA",Political,0.03743041312628186
"Calaveras, CA",Political,0.2406206777316736
"Colusa, CA",Political,0.13419782870928829
"Contra Costa, CA",Political,-0.43616882072183205
"Del Norte, CA",Political,0.17252563297761034
"El Dorado, CA",Political,0.137224733147418
"Fresno, CA",Political,-0.06124986274391734
"Glenn, CA",Political,0.2875395987328406
"Humboldt, CA",Political,-0.2502616210377072
"Imperial, CA",Political,-0.4151088561269261
"Inyo, CA",Political,0.135171902052931
"Kern, CA",Political,0.12653432338233064
"Kings, CA",Political,0.13197700132684653
"Lake, CA",Political,-0.03661822338340954
"Lassen, CA",Political,0.5083618396047129
"Los Angeles, CA",Political,-0.4934388528926351
"Madera, CA",Political,0.1467804787530154
"Marin, CA",Political,-0.6242128768677346
"Mariposa, CA",Political,0.23239833277007996
"Mendocino, CA",Political,-0.2986098140192652
"Merced, CA",Political,-0.1213747898684824
"Modoc, CA",Political,0.4802006335797254
"Mono, CA",Political,-0.12547384382107654
"Monterey, CA",Political,-0.4062200167905973
"Napa, CA",Political,-0.3550153164309457
"Nevada, CA",Political,-0.048930554291435335
"Orange, CA",Political,-0.08585486183540833
"Placer, CA",Political,0.11829533086485924
"Plumas, CA",Political,0.2026663910706904
"Riverside, CA",Political,-0.053836151883639806
"Sacramento, CA",Political,-0.24356640981173905
"San Benito, CA",Political,-0.2134646962233169
"San Bernardino, CA",Political,-0.10641408109996743
"San Diego, CA",Political,-0.19726729944886712
"San Francisco, CA",Political,-0.7575210945509029
"San Joaquin, CA",Political,-0.14359001811157804
"San Luis Obispo, CA",Political,-0.08105385566888132
"San Mateo, CA",Political,-0.5723987225813019
"Santa Barbara, CA",Political,-0.2872229701446947
"Santa Clara, CA",Political,-0.5213206026923061
"Santa Cruz, CA",Political,-0.5652106411221773
"Shasta, CA",Political,0.3682185552071752
"Sierra, CA",Political,0.2442622950819672
"Siskiyou, CA",Political,0.20041967597111068
"Solano, CA",Political,-0.3036487210513325
"Sonoma, CA",Political,-0.4714619918444301
"Stanislaus, CA",Political,-0.01831584817538601
"Sutter, CA",Political,0.15213435551710766
"Tehama, CA",Political,0.36326752551447217
"Trinity, CA",Political,0.10517059444249033
"Tulare, CA",Political,0.09537628856802036
"Tuolumne, CA",Political,0.2126209408907517
"Ventura, CA",Political,-0.17649818324491226
"Yolo, CA",Political,-0.4143379217931539
"Yuba, CA",Political,0.22871554048178105
"Adams, CO",Political,-0.08507474246766324
"Alamosa, CO",Political,-0.020608156794927224
"Arapahoe, CO",Political,-0.14133827867716453
"Archuleta, CO",Political,0.2403597220329745
"Baca, CO",Political,0.6827682303762193
"Bent, CO",Political,0.3103269330565646
"Boulder, CO",Political,-0.4833476841959796
"Broomfield, CO",Political,-0.14232269362413436
"Chaffee, CO",Political,0.04471111111111111
"Cheyenne, CO",Political,0.7196007259528131
"Clear Creek, CO",Political,-0.026252983293556086
"Conejos, CO",Political,0.035554450522128286
"Costilla, CO",Political,-0.2905844155844156
"Crowley, CO",Political,0.4846103470857892
"Custer, CO",Political,0.4122635355512068
"Delta, CO",Political,0.4507444907683145
"Denver, CO",Political,-0.5480183937417885
"Dolores, CO",Political,0.5593625498007968
"Douglas, CO",Political,0.1808862980602564
"Eagle, CO",Political,-0.20255322523094
"Elbert, CO",Political,0.5364250844911753
"El Paso, CO",Political,0.2232770161176548
"Fremont, CO",Political,0.4471396714149183
"Garfield, CO",Political,0.07030600680015113
"Gilpin, CO",Political,-0.01901565995525727
"Grand, CO",Political,0.13227759664648348
"Gunnison, CO",Political,-0.19538886527836805
"Hinsdale, CO",Political,0.2410865874363328
"Huerfano, CO",Political,0.06608511763150939
"Jackson, CO",Political,0.5319396051103368
"Jefferson, CO",Political,-0.0687146149682865
"Kiowa, CO",Political,0.7450292397660818
"Kit Carson, CO",Political,0.6566720691518099
"Lake, CO",Political,-0.10815879962488276
"La Plata, CO",Political,-0.09431781701444623
"Larimer, CO",Political,-0.04940810286763955
"Las Animas, CO",Political,0.156042985426174
"Lincoln, CO",Political,0.6087848932676518
"Logan, CO",Political,0.5586299115408352
"Mesa, CO",Political,0.36122236101631616
"Mineral, CO",Political,0.16411042944785276
"Moffat, CO",Political,0.679080459770115
"Montezuma, CO",Political,0.30175766060040443
"Montrose, CO",Political,0.4208439535542339
"Morgan, CO",Political,0.4175585284280937
"Otero, CO",Political,0.23485565546616186
"Ouray, CO",Political,-0.10453172205438066
"Park, CO",Political,0.2605356628587885
"Phillips, CO",Political,0.5810463121783876
"Pitkin, CO",Political,-0.4545281763755583
"Prowers, CO",Political,0.4675039872408294
"Pueblo, CO",Political,0.0049589298883605006
"Rio Blanco, CO",Political,0.6826086956521739
"Rio Grande, CO",Political,0.19588001445608968
"Routt, CO",Political,-0.16945516945516945
"Saguache, CO",Political,-0.09523809523809523
"San Juan, CO",Political,-0.09881422924901186
"San Miguel, CO",Political,-0.4486024486024486
"Sedgwick, CO",Political,0.5483870967741935
"Summit, CO",Political,-0.2755657227649313
"Teller, CO",Political,0.4252284685682636
"Washington, CO",Political,0.7328942553969996
"Weld, CO",Political,0.22249460968189733
"Yuma, CO",Political,0.6520559382174911
"Fairfield, CT",Political,-0.1988917615720462
"Hartford, CT",Political,-0.22668508395925915
"Litchfield, CT",Political,0.13624515096159767
"Middlesex, CT",Political,-0.07323072756815309
"New Haven, CT",Political,-0.1228502978844662
"New London, CT",Political,-0.06654361764134448
"Tolland, CT",Political,-0.05569332506716264
"Windham, CT",Political,0.07781909765263759
"Kent, DE",Political,0.04879487385720797
"New Castle, DE",Political,-0.2949567629987309
"Sussex, DE",Political,0.21958720096596485
"District of Columbia, DC",Political,-0.8677634707069151
"Alachua, FL",Political,-0.2254474181580605
"Baker, FL",Political,0.6476175399715055
"Bay, FL",Political,0.4619281213909186
"Bradford, FL",Political,0.4950405025624071
"Brevard, FL",Political,0.1975174105327369
"Broward, FL",Political,-0.3514257450258489
"Calhoun, FL",Political,0.5614208189442526
"Charlotte, FL",Political,0.2778031419262457
"Citrus, FL",Political,0.39732747804266
"Clay, FL",Political,0.4427091648432144
"Collier, FL",Political,0.2596068833472881
"Columbia, FL",Political,0.44473473368864735
"Desoto, FL",Political,0.27703826955074873
"Dixie, FL",Political,0.6320466537073035
"Duval, FL",Political,0.013792625290331529
"Escambia, FL",Political,0.20559589162387107
"Flagler, FL",Political,0.2056240543971619
"Franklin, FL",Political,0.3958437240232752
"Gadsden, FL",Political,-0.3749830416497083
"Gilchrist, FL",Political,0.6273159144893111
"Glades, FL",Political,0.3962784286698828
"Gulf, FL",Political,0.4948580830933772
"Hamilton, FL",Political,0.2818681318681319
"Hardee, FL",Political,0.40788606092575497
"Hendry, FL",Political,0.14215024741340532
"Hernando, FL",Political,0.2897245085078255
"Highlands, FL",Political,0.32018561484918795
"Hillsborough, FL",Political,-0.06864437974768263
"Holmes, FL",Political,0.7787174066243834
"Indian River, FL",Political,0.2446849729405442
"Jackson, FL",Political,0.3735563899054227
"Jefferson, FL",Political,0.05088293001962066
"Lafayette, FL",Political,0.6754127358490566
"Lake, FL",Political,0.2308432377890673
"Lee, FL",Political,0.2041633478340788
"Leon, FL",Political,-0.2514066731522625
"Levy, FL",Political,0.44722866718226345
"Liberty, FL",Political,0.5740291262135923
"Madison, FL",Political,0.1557907113462669
"Manatee, FL",Political,0.17166038958861854
"Marion, FL",Political,0.26211791642816257
"Martin, FL",Political,0.2683117306975009
"Miami-Dade, FL",Political,-0.2960067496153862
"Monroe, FL",Political,0.06904750694477141
"Nassau, FL",Political,0.5020061364172764
"Okaloosa, FL",Political,0.4770512121362352
"Okeechobee, FL",Political,0.3952977367611514
"Orange, FL",Political,-0.2465388311747746
"Osceola, FL",Political,-0.2507524642312027
"Palm Beach, FL",Political,-0.15441047692093995
"Pasco, FL",Political,0.2154732332803901
"Pinellas, FL",Political,0.01116971261344874
"Polk, FL",Political,0.14067896762030713
"Putnam, FL",Political,0.3636802850499744
"St. Johns, FL",Political,0.33392179556675505
"St. Lucie, FL",Political,0.02419646850838144
"Santa Rosa, FL",Political,0.5342184739871217
"Sarasota, FL",Political,0.11598555855812595
"Seminole, FL",Political,0.01569169749573136
"Sumter, FL",Political,0.3925128807147982
"Suwannee, FL",Political,0.5522092650048144
"Taylor, FL",Political,0.5143164693218515
"Union, FL",Political,0.6241657885493502
"Volusia, FL",Political,0.1300116150251659
"Wakulla, FL",Political,0.4015373591296984
"Walton, FL",Political,0.5612866783601391
"Washington, FL",Political,0.5712621011115095
"Appling, GA",Political,0.5790074158585282
"Atkinson, GA",Political,0.4524904214559387
"Bacon, GA",Political,0.6855721393034826
"Baker, GA",Political,0.08680555555555555
"Baldwin, GA",Political,-0.016939687267311987
"Banks, GA",Political,0.7813620071684588
"Barrow, GA",Political,0.4999311768754302
"Bartow, GA",Political,0.5486472819216182
"Ben Hill, GA",Political,0.2759433962264151
"Berrien, GA",Political,0.6638846737481032
"Bibb, GA",Political,-0.20359128378810148
"Bleckley, GA",Political,0.5263369521511861
"Brantley, GA",Political,0.7852721790192033
"Brooks, GA",Political,0.18513257575757566
"Bryan, GA",Political,0.4293811375469584
"Bulloch, GA",Political,0.2305261494706905
"Burke, GA",Political,-0.025665704202759064
"Butts, GA",Political,0.4363043935253311
"Calhoun, GA",Political,-0.17234567901234568
"Camden, GA",Political,0.33754827786889585
"Candler, GA",Political,0.4352909912304013
"Carroll, GA",Political,0.3981097436594819
"Catoosa, GA",Political,0.6018985685988714
"Charlton, GA",Political,0.4848107569721116
"Chatham, GA",Political,-0.1480444436517986
"Chattahoochee, GA",Political,0.11294964028776976
"Chattooga, GA",Political,0.5876151236063984
"Cherokee, GA",Political,0.4946136751068786
"Clarke, GA",Political,-0.3754446816079687
"Clay, GA",Political,-0.10290652003142184
"Clayton, GA",Political,-0.7061781841286251
"Clinch, GA",Political,0.4240325865580448
"Cobb, GA",Political,-0.021791372321420473
"Coffee, GA",Political,0.39482572763205176
"Colquitt, GA",Political,0.4723282442748092
"Columbia, GA",Political,0.373754691626894
"Cook, GA",Political,0.4000330196466898
"Coweta, GA",Political,0.4202769455016601
"Crawford, GA",Political,0.4277434312210201
"Crisp, GA",Political,0.22790202342918
"Dade, GA",Political,0.6545978852931753
"Dawson, GA",Political,0.7184020399490013
"Decatur, GA",Political,0.1843282131051915
"DeKalb, GA",Political,-0.6350994576768746
"Dodge, GA",Political,0.4539877300613497
"Dooly, GA",Political,0.02047162477325732
"Dougherty, GA",Political,-0.3836946636547657
"Douglas, GA",Political,-0.10717378502892376
"Early, GA",Political,0.08025078369905958
"Echols, GA",Political,0.7199661590524534
"Effingham, GA",Political,0.5550771591781055
"Elbert, GA",Political,0.3446851133091273
"Emanuel, GA",Political,0.36895674300254455
"Evans, GA",Political,0.3526155549404927
"Fannin, GA",Political,0.6526413816457839
"Fayette, GA",Political,0.1931279037315516
"Floyd, GA",Political,0.432125520110957
"Forsyth, GA",Political,0.4722920760326203
"Franklin, GA",Political,0.6834862385321101
"Fulton, GA",Political,-0.415558043630952
"Gilmer, GA",Political,0.6664056995224301
"Glascock, GA",Political,0.7892086330935252
"Glynn, GA",Political,0.2841841053030966
"Gordon, GA",Political,0.6334722295479719
"Grady, GA",Political,0.3299685227396071
"Greene, GA",Political,0.25881156800723
"Gwinnett, GA",Political,-0.058367927487809564
"Habersham, GA",Political,0.6591762605430032
"Hall, GA",Political,0.5029139672390868
"Hancock, GA",Political,-0.5189944134078213
"Haralson, GA",Political,0.7140970326670776
"Harris, GA",Political,0.4756999151617986
"Hart, GA",Political,0.4646634377779975
"Heard, GA",Political,0.62206961875444
"Henry, GA",Political,-0.04387137273960675
"Houston, GA",Political,0.21433445962815625
"Irwin, GA",Political,0.497275204359673
"Jackson, GA",Political,0.6360058845163663
"Jasper, GA",Political,0.4658395368072787
"Jeff Davis, GA",Political,0.6285321821036107
"Jefferson, GA",Political,-0.10878300803673938
"Jenkins, GA",Political,0.2526178010471204
"Johnson, GA",Political,0.3752034725990233
"Jones, GA",Political,0.34610787985021113
"Lamar, GA",Political,0.3836048344718865
"Lanier, GA",Political,0.4103099965168931
"Laurens, GA",Political,0.2897593445980543
"Lee, GA",Political,0.5286007212048364
"Liberty, GA",Political,-0.2119804249519916
"Lincoln, GA",Political,0.3622623110677718
"Long, GA",Political,0.3075054651445227
"Lowndes, GA",Political,0.17381298770003967
"Lumpkin, GA",Political,0.5954929577464789
"McDuffie, GA",Political,0.1869874838152784
"McIntosh, GA",Political,0.2005759783161105
"Macon, GA",Political,-0.2717518077909961
"Madison, GA",Political,0.5647607934655776
"Marion, GA",Political,0.2219435736677116
"Meriwether, GA",Political,0.15384615384615385
"Miller, GA",Political,0.4984276729559749
"Mitchell, GA",Political,0.09974619289340103
"Monroe, GA",Political,0.4146764404508552
"Montgomery, GA",Political,0.5097874720357942
"Morgan, GA",Political,0.4111873350923483
"Murray, GA",Political,0.6855835607641676
"Muscogee, GA",Political,-0.18650770657086568
"Newton, GA",Political,-0.02341600927546775
"Oconee, GA",Political,0.3892997171075488
"Oglethorpe, GA",Political,0.4186394965537909
"Paulding, GA",Political,0.4104946833102173
"Peach, GA",Political,0.02911086309523809
"Pickens, GA",Political,0.688987035190198
"Pierce, GA",Political,0.7384762686363014
"Pike, GA",Political,0.6920343839541547
"Polk, GA",Political,0.5731269785437918
"Pulaski, GA",Political,0.3697642163661581
"Putnam, GA",Political,0.3990303541315346
"Quitman, GA",Political,0.10919540229885058
"Rabun, GA",Political,0.605980980980981
"Randolph, GA",Political,-0.11279751638496033
"Richmond, GA",Political,-0.3224922200887241
"Rockdale, GA",Political,-0.2581795135863107
"Schley, GA",Political,0.5610267155578837
"Screven, GA",Political,0.17585301837270342
"Seminole, GA",Political,0.3221850613154961
"Spalding, GA",Political,0.2446700902583256
"Stephens, GA",Political,0.5959246051961283
"Stewart, GA",Political,-0.20262390670553931
"Sumter, GA",Political,-0.022234372152360123
"Talbot, GA",Political,-0.2483056069008009
"Taliaferro, GA",Political,-0.21850613154960985
"Tattnall, GA",Political,0.4947124438649863
"Taylor, GA",Political,0.22535211267605634
"Telfair, GA",Political,0.2995258166491043
"Terrell, GA",Political,-0.09381714012890904
"Thomas, GA",Political,0.21731730666950325
"Tift, GA",Political,0.3683100077361277
"Toombs, GA",Political,0.4680455241847231
"Towns, GA",Political,0.6169426374926079
"Treutlen, GA",Political,0.35035146133925266
"Troup, GA",Political,0.2312052391712305
"Turner, GA",Political,0.2498528546203649
"Twiggs, GA",Political,0.015767430401576743
"Union, GA",Political,0.6539832545801211
"Upson, GA",Political,0.34909456740442657
"Walker, GA",Political,0.6150859909834697
"Walton, GA",Political,0.5610349402919063
"Ware, GA",Political,0.4163657255416941
"Warren, GA",Political,-0.13838903170522707
"Washington, GA",Political,-0.006027656305401253
"Wayne, GA",Political,0.5869586094305196
"Webster, GA",Political,0.1406810035842294
"Wheeler, GA",Political,0.3686964795432921
"White, GA",Political,0.684005751501311
"Whitfield, GA",Political,0.4436036271120099
"Wilcox, GA",Political,0.4180107526881721
"Wilkes, GA",Political,0.1613909942041908
"Wilkinson, GA",Political,0.10240261254956846
"Worth, GA",Political,0.4981314044605184
"Hawaii, HI",Political,-0.36625711070343936
"Honolulu, HI",Political,-0.2987158403023199
"Kauai, HI",Political,-0.33726979305107274
"Maui, HI",Political,-0.38567715853306384
"Ada, ID",Political,0.09237538904987504
"Adams, ID",Political,0.5226752175904719
"Bannock, ID",Political,0.20463251137179794
"Bear Lake, ID",Political,0.6653005464480874
"Benewah, ID",Political,0.5574671445639188
"Bingham, ID",Political,0.4801804511278195
"Blaine, ID",Political,-0.2868332711674748
"Boise, ID",Political,0.497115888830624
"Bonner, ID",Political,0.3592608508809626
"Bonneville, ID",Political,0.4018226634404469
"Boundary, ID",Political,0.5531667635095875
"Butte, ID",Political,0.6130081300813008
"Camas, ID",Political,0.5084745762711864
"Canyon, ID",Political,0.4168303908772412
"Caribou, ID",Political,0.6602965403624382
"Cassia, ID",Political,0.6007581315725116
"Clark, ID",Political,0.5618374558303887
"Clearwater, ID",Political,0.5651144435674822
"Custer, ID",Political,0.5592377796188898
"Elmore, ID",Political,0.4696080732222483
"Franklin, ID",Political,0.6393889798145117
"Fremont, ID",Political,0.6017497812773404
"Gem, ID",Political,0.5973095297963289
"Gooding, ID",Political,0.5418994413407822
"Idaho, ID",Political,0.6370703267338759
"Jefferson, ID",Political,0.6501089324618736
"Jerome, ID",Political,0.4910383646867131
"Kootenai, ID",Political,0.4250490122153521
"Latah, ID",Political,-0.04556209761734442
"Lemhi, ID",Political,0.55615234375
"Lewis, ID",Political,0.5861635220125786
"Lincoln, ID",Political,0.47139588100686497
"Madison, ID",Political,0.4933707292197858
"Minidoka, ID",Political,0.5414059088924466
"Nez Perce, ID",Political,0.3413173652694611
